anchorType,description,difficultyBand,explanationMode,id,label,language,level,maxHintDepth,name,patternType,planType,status,stepKind,stepOrder,text,toneLevel
,,,,expl.iterator_invalidation.step3,ExplanationStep,en,,,RefreshIteratorsOrChangePattern,,,active,repair,3,Reacquire iterators after modification or change to a safer traversal pattern.,
,Explain the valid but unspecified state of moved-from objects and how to use them safely.,,step-by-step,expl.use_after_move,ExplanationTemplate,en,,3,ExplainUseAfterMove,,,active,,,,advanced
,,,,expl.use_after_move.step1,ExplanationStep,en,,,LocateMoveAndLaterRead,,,active,locate,1,Locate the move operation and the subsequent read that assumes the old value is still there.,
,,,,expl.use_after_move.step2,ExplanationStep,en,,,ExplainMovedFromState,,,active,concept,2,Explain that moved-from objects remain valid but their value is not the old owned resource.,
,,,,expl.use_after_move.step3,ExplanationStep,en,,,ReinitializeOrAvoidDependence,,,active,repair,3,Reinitialize the object or avoid reading semantic value after the move.,
,Explain why deleting a derived object through a base pointer requires a virtual base destructor.,,step-by-step,expl.missing_virtual_destructor,ExplanationTemplate,en,,3,ExplainMissingVirtualDestructor,,,active,,,,advanced
,,,,expl.missing_virtual_destructor.step1,ExplanationStep,en,,,LocateDeleteThroughBase,,,active,locate,1,Locate the delete operation performed through a base-class pointer or reference-like owner.,
,,,,expl.missing_virtual_destructor.step2,ExplanationStep,en,,,ExplainPolymorphicDestructionRule,,,active,concept,2,Explain that the base destructor must be virtual for derived cleanup to run correctly.,
,,,,expl.missing_virtual_destructor.step3,ExplanationStep,en,,,AddVirtualDestructor,,,active,repair,3,Declare the base destructor virtual and verify derived cleanup now happens safely.,
,Explain why a resource-owning class must define consistent special member behavior or delegate ownership to RAII types.,,step-by-step,expl.rule_of_five,ExplanationTemplate,en,,4,ExplainRuleOfFiveViolation,,,active,,,,advanced
,,,,expl.rule_of_five.step1,ExplanationStep,en,,,IdentifyOwnedResourceClass,,,active,locate,1,Identify the class that manually manages a resource such as dynamic memory or a handle.,
,,,,expl.rule_of_five.step2,ExplanationStep,en,,,ExplainSpecialMemberConsistency,,,active,concept,2,"Explain why copy, move, destruction, and assignment must agree on ownership semantics.",
,,,,expl.rule_of_five.step3,ExplanationStep,en,,,PreferRAIIOrCompleteSpecialMembers,,,active,repair,3,Prefer composing RAII types or define the needed special members consistently.,
,Explain how exceptions can bypass manual cleanup and break invariants when ownership is not exception-safe.,,step-by-step,expl.exception_safety,ExplanationTemplate,en,,4,ExplainExceptionSafetyViolation,,,active,,,,advanced
,,,,expl.exception_safety.step1,ExplanationStep,en,,,LocateExceptionalPath,,,active,locate,1,Locate the operation that can throw and the cleanup that may be skipped.,
,,,,expl.exception_safety.step2,ExplanationStep,en,,,ExplainInvariantAndCleanupRisk,,,active,concept,2,Explain what resource or invariant becomes inconsistent if an exception interrupts the path.,
,,,,expl.exception_safety.step3,ExplanationStep,en,,,AdoptRAIIBoundaries,,,active,repair,3,Move resource cleanup into RAII objects so normal and exceptional exits behave the same.,
,Explain that formatting placeholders and argument types must agree.,,guided-hint,expl.format_specifier,ExplanationTemplate,en,,2,ExplainFormatSpecifierMismatch,,,active,,,,novice
,,,,expl.format_specifier.step1,ExplanationStep,en,,,LocateFormatMismatch,,,active,locate,1,Point to the formatting call where placeholder and argument type disagree.,
,,,,expl.format_specifier.step2,ExplanationStep,en,,,ExplainTypeAgreementRule,,,active,concept,2,Explain that formatting APIs interpret arguments according to the placeholder contract.,
,,,,expl.format_specifier.step3,ExplanationStep,en,,,CorrectSpecifierOrUpgradeAPI,,,active,repair,3,Choose the correct specifier or use a type-safe formatting API when available.,
,Explain the correct waiting protocol for condition variables and shared state synchronization.,,step-by-step,expl.condition_variable,ExplanationTemplate,en,,4,ExplainConditionVariableMisuse,,,active,,,,advanced
,,,,expl.condition_variable.step1,ExplanationStep,en,,,LocateWaitNotifyProtocol,,,active,locate,1,"Locate the shared state, the lock, and the wait/notify operations.",
,,,,expl.condition_variable.step2,ExplanationStep,en,,,ExplainPredicateWaitRule,,,active,concept,2,Explain that waiting should re-check the predicate while holding the correct lock.,
,,,,expl.condition_variable.step3,ExplanationStep,en,,,RepairSynchronizationProtocol,,,active,repair,3,Protect the shared state consistently and rewrite waiting as a predicate loop.,
