confidenceBase,description,id,isAutoApplicable,label,level,mode,name,patternType,requiresExecution,status
,A base case exists syntactically but cannot be reached for relevant inputs.,ev.recursion.base_unreachable,,EvidencePattern,,,RecursiveBaseCaseUnreachable,cfg-pattern,,active
,Recursive call fails to reduce problem size toward a base case.,ev.recursion.no_progress,,EvidencePattern,,,RecursiveCallDoesNotReduceProblem,ast-pattern,,active
,Iterator/reference survives a modification that invalidates it.,ev.iterator.modified_container,,EvidencePattern,,,IteratorUsedAfterContainerModification,dataflow-pattern,,active
,Iterator is used after erase/pop/reallocation-like operations.,ev.iterator.erase_then_use,,EvidencePattern,,,IteratorUsedAfterErase,dataflow-pattern,,active
,Non-owning range/view outlives or outscopes its underlying source.,ev.iterator.view_lifetime,,EvidencePattern,,,ViewOrRangeOutlivesSource,dataflow-pattern,,active
,Object is read as though unchanged after move operation.,ev.move.use_after_move,,EvidencePattern,,,MovedFromObjectUsedAsIfUnchanged,dataflow-pattern,,active
,Delete is applied through base pointer lacking virtual destructor.,ev.oop.delete_base_no_virtual,,EvidencePattern,,,DeleteThroughBaseWithoutVirtualDestructor,ast-pattern,,active
,Resource-owning class defines only some copy/move/destructor members.,ev.oop.rule_of_five_partial,,EvidencePattern,,,CustomOwnerDefinesPartialSpecialMembers,ast-pattern,,active
,Exceptional path can bypass manual cleanup or leave partial state.,ev.oop.exception_cleanup,,EvidencePattern,,,ManualCleanupOnExceptionalPath,cfg-pattern,,active
,Format specifier and actual argument type do not match.,ev.format.printf_type_mismatch,,EvidencePattern,,,PrintfSpecifierTypeMismatch,ast-pattern,,active
,Unsafe legacy formatting is used where safer type-aware formatting is expected.,ev.format.mixed_print_api,,EvidencePattern,,,UnsafeCFormattingPreferredOverTypeSafeFormatting,style-pattern,,active
,Condition variable wait is not wrapped in a predicate-checking loop.,ev.concurrent.wait_without_predicate,,EvidencePattern,,,ConditionWaitWithoutPredicateLoop,ast-pattern,,active
,Shared state and notify/wait protocol are not synchronized consistently.,ev.concurrent.notify_without_lock_protocol,,EvidencePattern,,,NotifyAndStateProtocolBroken,dataflow-pattern,,active
,Shared mutable state accessed across threads without evident synchronization.,ev.concurrent.thread_shared_state_no_sync,,EvidencePattern,,,SharedStateAccessWithoutSynchronization,dataflow-pattern,,active
,"Most tests pass but edge cases fail, suggesting boundary or contract issue.",ev.cross.edge_only_failure,,EvidencePattern,,,FailsOnlyOnEdgeCaseTests,test-pattern,,active
0.91,Detect off-by-one traversal logic when a loop uses <= length while indexing from zero.,rule.loop.off_by_one.leq_length,true,DiagnosticRule,,,DetectOffByOneFromLessEqualLength,,false,active
0.79,Detect off-by-one behavior when traversal starts at one in zero-indexed structures.,rule.loop.off_by_one.start_one,true,DiagnosticRule,,,DetectOffByOneFromStartOne,,false,active
0.95,Detect infinite loop caused by missing progress update.,rule.loop.infinite.missing_update,true,DiagnosticRule,,,DetectInfiniteLoopFromMissingUpdate,,false,active
0.88,Detect infinite loop when progress moves away from exit condition.,rule.loop.infinite.wrong_direction,true,DiagnosticRule,,,DetectInfiniteLoopFromWrongDirection,,false,active
0.74,Infer boundary bug from failure isolated to last/edge element tests.,rule.loop.boundary.edge_case,true,DiagnosticRule,,,DetectBoundaryLogicFromEdgeCaseFailure,,true,active
0.90,Detect out-of-bounds access where array/container is indexed by its size directly.,rule.array.out_of_bounds.size_index,true,DiagnosticRule,,,DetectArrayOutOfBoundsFromSizeIndex,,false,active
0.72,Detect confusion between index and value roles in traversal/update logic.,rule.array.index_value_confusion,true,DiagnosticRule,,,DetectIndexValueRoleConfusion,,false,active
0.83,Detect possible null dereference from an unsafe dereference pattern.,rule.pointer.null_deref.ast,true,DiagnosticRule,,,DetectNullDereferenceFromUnsafeDereference,,false,active
0.97,Attach null dereference diagnosis when the static analyzer reports it.,rule.pointer.null_deref.clang,true,DiagnosticRule,,,DetectNullDereferenceFromAnalyzer,,false,active
0.87,Detect memory leak from ownership flow missing a release or RAII handoff.,rule.memory.leak.alloc_no_release,true,DiagnosticRule,,,DetectMemoryLeakFromMissingRelease,,false,active
0.96,Detect use-after-free when data-flow shows access after release.,rule.memory.use_after_free.flow,true,DiagnosticRule,,,DetectUseAfterFreeFromDataFlow,,false,active
0.95,Detect double release of the same ownership resource.,rule.memory.double_free.flow,true,DiagnosticRule,,,DetectDoubleFreeFromDataFlow,,false,active
0.99,Trust sanitizer evidence for use-after-free diagnosis.,rule.memory.uaf.sanitizer,true,DiagnosticRule,,,DetectUseAfterFreeFromSanitizer,,true,active
0.99,Trust sanitizer or leak instrumentation for memory leak diagnosis.,rule.memory.leak.sanitizer,true,DiagnosticRule,,,DetectMemoryLeakFromSanitizer,,true,active
0.98,Detect missing return in non-void function from compiler diagnostic.,rule.function.missing_return.compiler,true,DiagnosticRule,,,DetectMissingReturnFromCompilerWarning,,false,active
0.86,Detect missing return by finding a control-flow path with no return.,rule.function.missing_return.cfg,true,DiagnosticRule,,,DetectMissingReturnFromCFG,,false,active
0.89,Detect recursion bug when no valid base case is present.,rule.recursion.no_base_case,true,DiagnosticRule,,,DetectWrongBaseCaseFromMissingBase,,false,active
0.84,Detect recursion bug when base case exists but is unreachable.,rule.recursion.unreachable_base,true,DiagnosticRule,,,DetectWrongBaseCaseFromUnreachableBase,,false,active
0.93,Detect recursive non-progress when recursive calls do not reduce problem size.,rule.recursion.no_progress,true,DiagnosticRule,,,DetectNoRecursiveProgress,,false,active
0.94,Detect iterator invalidation caused by modify-then-use pattern.,rule.iterator.invalidation.modify_then_use,true,DiagnosticRule,,,DetectIteratorInvalidationAfterModification,,false,active
0.82,Detect view or range lifetime misuse when source outlives assumptions fail.,rule.iterator.view_lifetime,true,DiagnosticRule,,,DetectRangeViewLifetimeIssue,,false,active
0.85,Detect invalid dependence on moved-from object state.,rule.move.use_after_move,true,DiagnosticRule,,,DetectUseAfterMove,,false,active
0.96,Detect missing virtual destructor when deleting through base pointer.,rule.oop.delete_base_no_virtual,true,DiagnosticRule,,,DetectMissingVirtualDestructor,,false,active
0.81,Detect a likely Rule of Five violation in a resource-owning type.,rule.oop.rule_of_five,true,DiagnosticRule,,,DetectRuleOfFiveViolation,,false,active
0.77,Detect likely exception-safety issue from manual cleanup on exceptional path.,rule.oop.exception_safety,true,DiagnosticRule,,,DetectExceptionSafetyViolation,,false,active
0.95,Detect mismatch between formatting specifier and argument type.,rule.format.specifier_mismatch,true,DiagnosticRule,,,DetectFormatSpecifierMismatch,,false,active
0.64,Recommend upgrading from unsafe formatting to type-safe modern formatting APIs.,rule.format.modern_cpp_upgrade,false,DiagnosticRule,,,RecommendTypeSafeFormatting,,false,active
0.88,Detect condition variable wait misuse without predicate-based waiting.,rule.concurrent.wait_protocol,true,DiagnosticRule,,,DetectConditionVariableProtocolMisuse,,false,active
0.76,Detect unsafe shared-state access with insufficient synchronization evidence.,rule.concurrent.missing_sync,true,DiagnosticRule,,,DetectSharedStateWithoutSynchronization,,false,active
0.71,Use cross-evidence from edge-case failures to strengthen boundary-related diagnoses.,rule.meta.edge_case_boundary,true,DiagnosticRule,,,CrossCheckBoundaryBugFromEdgeCasePattern,,true,active
