actionType,afterCode,autoFixable,beforeCode,constraintType,defaultOrder,description,explanation,id,label,name,status,stepType,strategyType
,,,,,,Define and verify a reachable recursive base case.,,repair.recursion_termination,RepairPlan,RecursionTerminationRepair,active,,recursion
,,,,,,Ensure recursive calls reduce problem size toward the base case.,,repair.recursion_progress,RepairPlan,RecursionProgressRepair,active,,recursion
,,,,,,"Avoid use of invalidated iterators, references, and views.",,repair.iterator_validity,RepairPlan,IteratorValidityRepair,active,,iterator
,,,,,,Ensure non-owning views and ranges do not outlive their sources.,,repair.range_lifetime,RepairPlan,RangeLifetimeRepair,active,,range
,,,,,,Avoid relying on moved-from object values unless reinitialized.,,repair.move_semantic_safety,RepairPlan,MoveSemanticSafetyRepair,active,,modern-cpp
,,,,,,"Repair polymorphic cleanup, especially base class destruction.",,repair.polymorphic_lifetime,RepairPlan,PolymorphicLifetimeRepair,active,,oop
,,,,,,Move cleanup into exception-safe ownership boundaries.,,repair.exception_safety,RepairPlan,ExceptionSafetyRepair,active,,modern-cpp
,,,,,,Protect shared mutable state with consistent locking.,,repair.lock_discipline,RepairPlan,LockDisciplineRepair,active,,concurrency
,,,,,,Use predicate-based condition variable waiting and notification protocol.,,repair.condition_protocol,RepairPlan,ConditionProtocolRepair,active,,concurrency
,,,,,,Prevent unsynchronized cross-thread shared state access.,,repair.shared_state_protection,RepairPlan,SharedStateProtectionRepair,active,,concurrency
,,,,,,Match formatting placeholders with argument types or use type-safe formatting.,,repair.format_type_safety,RepairPlan,FormatTypeSafetyRepair,active,,io
,,,,,1,Locate the smallest code region related to the failing behavior.,,step.locate_fault_region,RepairStepTemplate,LocateFaultRegion,active,locate,
,,,,,2,Inspect loop condition and decide whether it should be inclusive or exclusive.,,step.inspect_loop_condition,RepairStepTemplate,InspectLoopCondition,active,analysis,
,,,,,3,Verify that every index stays inside the valid range.,,step.verify_index_range,RepairStepTemplate,VerifyIndexRange,active,analysis,
,,,,,4,Run the smallest edge cases that expose boundary mistakes.,,step.run_boundary_case,RepairStepTemplate,RunBoundaryCase,active,validation,
,,,,,2,Verify that loop state changes toward termination.,,step.verify_loop_progress,RepairStepTemplate,VerifyLoopProgress,active,analysis,
,,,,,3,Change or add the loop update so progress is guaranteed.,,step.repair_loop_update,RepairStepTemplate,RepairLoopUpdate,active,repair,
,,,,,2,Trace all assignments and ownership transfers of the pointer or handle.,,step.trace_pointer_assignment,RepairStepTemplate,TracePointerAssignment,active,analysis,
,,,,,3,Check whether the pointer may be null or invalid before dereference.,,step.check_nullability,RepairStepTemplate,CheckNullability,active,analysis,
,,,,,4,Add a guard or invariant that prevents invalid dereference.,,step.insert_validity_guard,RepairStepTemplate,InsertValidityGuard,active,repair,
,,,,,2,Identify who owns each resource at each program point.,,step.verify_resource_owner,RepairStepTemplate,VerifyResourceOwner,active,analysis,
,,,,,3,Verify that each allocated resource is released exactly once.,,step.verify_release_path,RepairStepTemplate,VerifyReleasePath,active,analysis,
,,,,,4,Prefer RAII or smart pointers for resource ownership when available.,,step.replace_manual_ownership,RepairStepTemplate,ReplaceManualOwnership,active,repair,
,,,,,2,Trace whether a resource is accessed after release.,,step.trace_release_then_use,RepairStepTemplate,TraceReleaseThenUse,active,analysis,
,,,,,3,Stop using handles after release or reset them to a safe state.,,step.invalidate_after_release,RepairStepTemplate,InvalidateAfterRelease,active,repair,
,,,,,2,Check every control-flow path in non-void functions for a return value.,,step.verify_all_return_paths,RepairStepTemplate,VerifyAllReturnPaths,active,analysis,
,,,,,3,Add a valid return value or redesign the function contract.,,step.add_missing_return,RepairStepTemplate,AddMissingReturn,active,repair,
,,,,,2,Identify the recursive base case and when it should apply.,,step.identify_base_case,RepairStepTemplate,IdentifyBaseCase,active,analysis,
,,,,,3,Verify that recursive execution can reach the base case.,,step.verify_base_case_reachable,RepairStepTemplate,VerifyBaseCaseReachable,active,analysis,
,,,,,3,Verify that each recursive call reduces the problem size.,,step.verify_recursive_progress,RepairStepTemplate,VerifyRecursiveProgress,active,analysis,
,,,,,4,Rewrite recursive arguments so they progress toward the base case.,,step.rewrite_recursive_call,RepairStepTemplate,RewriteRecursiveCall,active,repair,
,,,,,2,Locate the operation that can invalidate iterators or references.,,step.locate_container_modification,RepairStepTemplate,LocateContainerModification,active,locate,
,,,,,3,Refresh or reacquire iterators after invalidating operations.,,step.refresh_iterator,RepairStepTemplate,RefreshIterator,active,repair,
,,,,,2,Check whether a view or range outlives its source object.,,step.check_view_source_lifetime,RepairStepTemplate,CheckViewSourceLifetime,active,analysis,
,,,,,3,Extend source lifetime or use an owning object instead of a dangling view.,,step.extend_source_lifetime,RepairStepTemplate,ExtendSourceLifetime,active,repair,
,,,,,2,Locate the move operation and later use of the moved-from object.,,step.locate_move_operation,RepairStepTemplate,LocateMoveOperation,active,locate,
,,,,,3,Reinitialize moved-from objects before relying on their semantic value.,,step.reinitialize_moved_from,RepairStepTemplate,ReinitializeMovedFromObject,active,repair,
,,,,,2,Locate deletion through a base pointer or owner.,,step.locate_polymorphic_delete,RepairStepTemplate,LocatePolymorphicDelete,active,locate,
,,,,,3,Add a virtual destructor to a polymorphic base class.,,step.add_virtual_destructor,RepairStepTemplate,AddVirtualDestructor,active,repair,
,,,,,2,Locate paths where exceptions may bypass cleanup or break invariants.,,step.identify_exception_path,RepairStepTemplate,IdentifyExceptionPath,active,analysis,
,,,,,3,Move cleanup into RAII-managed objects or scope-bound ownership.,,step.apply_raii_boundary,RepairStepTemplate,ApplyRAIIBoundary,active,repair,
,,,,,1,Locate the formatting call and its arguments.,,step.locate_format_call,RepairStepTemplate,LocateFormatCall,active,locate,
,,,,,2,Match placeholders against actual argument types.,,step.match_format_type,RepairStepTemplate,MatchFormatType,active,analysis,
,,,,,3,Use type-safe formatting APIs where available.,,step.use_type_safe_format,RepairStepTemplate,UseTypeSafeFormatting,active,repair,
,,,,,1,Locate mutable state shared across threads.,,step.locate_shared_state,RepairStepTemplate,LocateSharedState,active,locate,
,,,,,2,Check whether all shared-state accesses use the same synchronization discipline.,,step.verify_lock_coverage,RepairStepTemplate,VerifyLockCoverage,active,analysis,
,,,,,3,Use predicate-based wait loops for condition variables.,,step.use_predicate_wait,RepairStepTemplate,UsePredicateWait,active,repair,
,,,,,99,Rerun the smallest tests that validate the repair.,,step.rerun_targeted_tests,RepairStepTemplate,RerunTargetedTests,active,validation,
edit,,true,,,,Replace <= with < when iterating over zero-indexed ranges of length n.,,action.replace_less_equal_with_less,RepairAction,ReplaceLessEqualWithLess,active,,
edit,,true,,,,Replace < with <= when the upper bound is meant to be included.,,action.replace_less_with_less_equal,RepairAction,ReplaceLessWithLessEqual,active,,
edit,,true,,,,Change loop start value to zero for zero-indexed traversal.,,action.change_loop_start_to_zero,RepairAction,ChangeLoopStartToZero,active,,
edit,,true,,,,Add a missing update statement to a loop.,,action.add_loop_update,RepairAction,AddLoopUpdate,active,,
edit,,true,,,,Change increment to decrement or vice versa when loop progress is reversed.,,action.change_update_direction,RepairAction,ChangeUpdateDirection,active,,
edit,,false,,,,Insert a condition that prevents out-of-range access.,,action.insert_bounds_check,RepairAction,InsertBoundsCheck,active,,
edit,,true,,,,Insert a null check before pointer dereference.,,action.insert_null_guard,RepairAction,InsertNullGuard,active,,
edit,,true,,,,Initialize pointer variables to a safe value.,,action.initialize_pointer,RepairAction,InitializePointer,active,,
edit,,false,,,,Add a missing resource release on the owning path.,,action.add_missing_free,RepairAction,AddMissingFree,active,,
edit,,false,,,,Remove or restructure duplicated release operations.,,action.remove_duplicate_free,RepairAction,RemoveDuplicateFree,active,,
edit,,true,,,,Set pointer to null after release when ownership remains in scope.,,action.set_pointer_null_after_free,RepairAction,SetPointerNullAfterFree,active,,
refactor,,false,,,,Replace raw owning pointer with std::unique_ptr.,,action.convert_raw_pointer_to_unique_ptr,RepairAction,ConvertRawPointerToUniquePtr,active,,
edit,,true,,,,Add a valid return statement on paths that currently miss one.,,action.add_return_statement,RepairAction,AddReturnStatement,active,,
edit,,false,,,,Add a recursive base case.,,action.add_base_case,RepairAction,AddBaseCase,active,,
edit,,false,,,,Modify recursive arguments to reduce problem size.,,action.reduce_recursive_argument,RepairAction,ReduceRecursiveArgument,active,,
edit,,false,,,,Reacquire iterators after operations that may invalidate them.,,action.reacquire_iterator,RepairAction,ReacquireIterator,active,,
edit,,false,,,,Avoid creating non-owning views to temporary or short-lived objects.,,action.avoid_view_to_temporary,RepairAction,AvoidViewToTemporary,active,,
edit,,true,,,,Assign a new valid value to a moved-from object before semantic use.,,action.reinitialize_after_move,RepairAction,ReinitializeAfterMove,active,,
edit,,true,,,,Add virtual destructor to a polymorphic base class.,,action.add_virtual_destructor,RepairAction,AddVirtualDestructor,active,,
refactor,,false,,,,Move manual resource cleanup into RAII objects.,,action.wrap_resource_in_raii,RepairAction,WrapResourceInRAII,active,,
edit,,true,,,,Replace incorrect printf-style specifier with the correct one.,,action.fix_printf_specifier,RepairAction,FixPrintfSpecifier,active,,
refactor,,false,,,,Use std::format or std::print for type-safe formatting when available.,,action.use_std_format_or_print,RepairAction,UseStdFormatOrPrint,active,,
edit,,false,,,,Protect shared-state access with a mutex.,,action.wrap_access_with_mutex,RepairAction,WrapAccessWithMutex,active,,
edit,,false,,,,Rewrite condition variable waiting as a predicate-based loop.,,action.rewrite_condition_wait,RepairAction,RewriteConditionWait,active,,
,,,,semantic,,Repair must preserve the problem statement semantics.,,constraint.preserve_semantics,RepairConstraint,PreserveProblemSemantics,active,,
,,,,style,,Prefer the smallest repair that fixes the diagnosed issue.,,constraint.minimal_patch,RepairConstraint,PreferMinimalPatch,active,,
,,,,style,,Avoid changing unrelated code while repairing the bug.,,constraint.no_unrelated_refactor,RepairConstraint,AvoidUnrelatedRefactor,active,,
,,,,interface,,Do not change function signatures unless the function contract is the issue.,,constraint.keep_public_api,RepairConstraint,KeepPublicAPIStable,active,,
,,,,safety,,All index expressions must stay within valid range.,,constraint.valid_index_range,RepairConstraint,MaintainValidIndexRange,active,,
,,,,ownership,,Each owned resource must be released exactly once.,,constraint.single_release,RepairConstraint,ReleaseEachResourceExactlyOnce,active,,
,,,,ownership,,Do not read or write through a released resource handle.,,constraint.no_use_after_release,RepairConstraint,NoUseAfterRelease,active,,
,,,,control-flow,,Every non-void function path must return a value.,,constraint.return_all_paths,RepairConstraint,ReturnOnAllRequiredPaths,active,,
,,,,algorithm,,Recursive calls must move toward the base case.,,constraint.recursive_progress,RepairConstraint,RecursiveCallsMustProgress,active,,
,,,,stl,,"Do not use invalidated iterators, references, or views.",,constraint.iterator_validity,RepairConstraint,IteratorMustRemainValid,active,,
,,,,modern-cpp,,Use moved-from objects only in documented safe ways or reinitialize them.,,constraint.moved_from_safe_use,RepairConstraint,MovedFromObjectSafeUseOnly,active,,
,,,,oop,,Polymorphic base deletion requires a virtual destructor.,,constraint.virtual_base_cleanup,RepairConstraint,PolymorphicBaseRequiresVirtualDestructor,active,,
,,,,exception,,Cleanup must happen correctly on normal and exceptional paths.,,constraint.exception_safe_cleanup,RepairConstraint,CleanupMustBeExceptionSafe,active,,
,,,,io,,Format specifiers must match argument types.,,constraint.format_type_match,RepairConstraint,FormatSpecifierMustMatchType,active,,
,,,,concurrency,,Shared mutable state must be protected consistently.,,constraint.synchronized_shared_state,RepairConstraint,SharedStateMustBeSynchronized,active,,
,,,,concurrency,,Condition variable waiting must re-check the predicate under lock.,,constraint.wait_predicate,RepairConstraint,ConditionWaitNeedsPredicate,active,,
,for (int i = 0; i < n; ++i) { sum += a[i]; },,for (int i = 0; i <= n; ++i) { sum += a[i]; },,,,"When a has n elements, the last valid index is n - 1, so the loop must stop before i reaches n.",example.off_by_one.less_equal,RepairExample,OffByOneLessEqualExample,active,,
,if (p != nullptr) { int value = *p; },,int value = *p;,,,,Dereference is only safe when the pointer is known to refer to a valid object.,example.null_guard,RepairExample,NullGuardExample,active,,
,int f(bool ok) { if (ok) return 1; return 0; },,int f(bool ok) { if (ok) return 1; },,,,Every path in a non-void function must return a value.,example.missing_return,RepairExample,MissingReturnExample,active,,
,int f(int n) { if (n == 0) return 0; return f(n - 1); },,int f(int n) { if (n == 0) return 0; return f(n); },,,,The recursive call must reduce the input toward the base case.,example.recursive_progress,RepairExample,RecursiveProgressExample,active,,
,struct Base { virtual ~Base() = default; virtual void f(); };,,struct Base { virtual void f(); };,,,,A polymorphic base class should have a virtual destructor if objects may be deleted through base pointers.,example.virtual_destructor,RepairExample,VirtualDestructorExample,active,,
,"cv.wait(lock, [&] { return ready; });",,cv.wait(lock);,,,,Condition variable waiting should re-check a predicate under the lock.,example.condition_wait,RepairExample,ConditionVariablePredicateWaitExample,active,,
