end_id,order,start_id,type
step.verify_release_path,3,repair.resource_lifecycle,CONSISTS_OF_STEP
step.replace_manual_ownership,4,repair.resource_lifecycle,CONSISTS_OF_STEP
step.rerun_targeted_tests,5,repair.resource_lifecycle,CONSISTS_OF_STEP
step.locate_fault_region,1,repair.ownership_management,CONSISTS_OF_STEP
step.verify_resource_owner,2,repair.ownership_management,CONSISTS_OF_STEP
step.trace_release_then_use,3,repair.ownership_management,CONSISTS_OF_STEP
step.invalidate_after_release,4,repair.ownership_management,CONSISTS_OF_STEP
step.rerun_targeted_tests,5,repair.ownership_management,CONSISTS_OF_STEP
step.locate_fault_region,1,repair.control_flow_completion,CONSISTS_OF_STEP
step.verify_all_return_paths,2,repair.control_flow_completion,CONSISTS_OF_STEP
step.add_missing_return,3,repair.control_flow_completion,CONSISTS_OF_STEP
step.rerun_targeted_tests,4,repair.control_flow_completion,CONSISTS_OF_STEP
step.locate_fault_region,1,repair.function_contract,CONSISTS_OF_STEP
step.verify_all_return_paths,2,repair.function_contract,CONSISTS_OF_STEP
step.add_missing_return,3,repair.function_contract,CONSISTS_OF_STEP
step.rerun_targeted_tests,4,repair.function_contract,CONSISTS_OF_STEP
step.locate_fault_region,1,repair.recursion_termination,CONSISTS_OF_STEP
step.identify_base_case,2,repair.recursion_termination,CONSISTS_OF_STEP
step.verify_base_case_reachable,3,repair.recursion_termination,CONSISTS_OF_STEP
step.rerun_targeted_tests,4,repair.recursion_termination,CONSISTS_OF_STEP
step.locate_fault_region,1,repair.recursion_progress,CONSISTS_OF_STEP
step.verify_recursive_progress,2,repair.recursion_progress,CONSISTS_OF_STEP
step.rewrite_recursive_call,3,repair.recursion_progress,CONSISTS_OF_STEP
step.rerun_targeted_tests,4,repair.recursion_progress,CONSISTS_OF_STEP
step.locate_fault_region,1,repair.iterator_validity,CONSISTS_OF_STEP
step.locate_container_modification,2,repair.iterator_validity,CONSISTS_OF_STEP
step.refresh_iterator,3,repair.iterator_validity,CONSISTS_OF_STEP
step.rerun_targeted_tests,4,repair.iterator_validity,CONSISTS_OF_STEP
step.locate_fault_region,1,repair.range_lifetime,CONSISTS_OF_STEP
step.check_view_source_lifetime,2,repair.range_lifetime,CONSISTS_OF_STEP
step.extend_source_lifetime,3,repair.range_lifetime,CONSISTS_OF_STEP
step.rerun_targeted_tests,4,repair.range_lifetime,CONSISTS_OF_STEP
step.locate_fault_region,1,repair.move_semantic_safety,CONSISTS_OF_STEP
step.locate_move_operation,2,repair.move_semantic_safety,CONSISTS_OF_STEP
step.reinitialize_moved_from,3,repair.move_semantic_safety,CONSISTS_OF_STEP
step.rerun_targeted_tests,4,repair.move_semantic_safety,CONSISTS_OF_STEP
step.locate_fault_region,1,repair.polymorphic_lifetime,CONSISTS_OF_STEP
step.locate_polymorphic_delete,2,repair.polymorphic_lifetime,CONSISTS_OF_STEP
step.add_virtual_destructor,3,repair.polymorphic_lifetime,CONSISTS_OF_STEP
step.rerun_targeted_tests,4,repair.polymorphic_lifetime,CONSISTS_OF_STEP
step.locate_fault_region,1,repair.exception_safety,CONSISTS_OF_STEP
step.identify_exception_path,2,repair.exception_safety,CONSISTS_OF_STEP
step.apply_raii_boundary,3,repair.exception_safety,CONSISTS_OF_STEP
step.rerun_targeted_tests,4,repair.exception_safety,CONSISTS_OF_STEP
step.locate_shared_state,1,repair.lock_discipline,CONSISTS_OF_STEP
step.verify_lock_coverage,2,repair.lock_discipline,CONSISTS_OF_STEP
step.rerun_targeted_tests,3,repair.lock_discipline,CONSISTS_OF_STEP
step.locate_shared_state,1,repair.condition_protocol,CONSISTS_OF_STEP
step.use_predicate_wait,2,repair.condition_protocol,CONSISTS_OF_STEP
step.rerun_targeted_tests,3,repair.condition_protocol,CONSISTS_OF_STEP
step.locate_shared_state,1,repair.shared_state_protection,CONSISTS_OF_STEP
step.verify_lock_coverage,2,repair.shared_state_protection,CONSISTS_OF_STEP
step.rerun_targeted_tests,3,repair.shared_state_protection,CONSISTS_OF_STEP
step.locate_format_call,1,repair.format_type_safety,CONSISTS_OF_STEP
step.match_format_type,2,repair.format_type_safety,CONSISTS_OF_STEP
step.use_type_safe_format,3,repair.format_type_safety,CONSISTS_OF_STEP
step.rerun_targeted_tests,4,repair.format_type_safety,CONSISTS_OF_STEP
action.replace_less_equal_with_less,,repair.boundary_validation,USES_ACTION
action.replace_less_with_less_equal,,repair.boundary_validation,USES_ACTION
action.change_loop_start_to_zero,,repair.boundary_validation,USES_ACTION
action.insert_bounds_check,,repair.boundary_validation,USES_ACTION
action.add_loop_update,,repair.loop_progress,USES_ACTION
action.change_update_direction,,repair.loop_progress,USES_ACTION
action.replace_less_equal_with_less,,repair.loop_termination,USES_ACTION
action.add_loop_update,,repair.loop_termination,USES_ACTION
action.change_update_direction,,repair.loop_termination,USES_ACTION
action.insert_null_guard,,repair.pointer_safety,USES_ACTION
action.initialize_pointer,,repair.pointer_safety,USES_ACTION
action.add_missing_free,,repair.resource_lifecycle,USES_ACTION
action.convert_raw_pointer_to_unique_ptr,,repair.resource_lifecycle,USES_ACTION
action.wrap_resource_in_raii,,repair.resource_lifecycle,USES_ACTION
action.remove_duplicate_free,,repair.ownership_management,USES_ACTION
action.set_pointer_null_after_free,,repair.ownership_management,USES_ACTION
action.convert_raw_pointer_to_unique_ptr,,repair.ownership_management,USES_ACTION
action.add_return_statement,,repair.control_flow_completion,USES_ACTION
action.add_return_statement,,repair.function_contract,USES_ACTION
action.add_base_case,,repair.recursion_termination,USES_ACTION
action.reduce_recursive_argument,,repair.recursion_progress,USES_ACTION
action.reacquire_iterator,,repair.iterator_validity,USES_ACTION
action.avoid_view_to_temporary,,repair.range_lifetime,USES_ACTION
action.reinitialize_after_move,,repair.move_semantic_safety,USES_ACTION
action.add_virtual_destructor,,repair.polymorphic_lifetime,USES_ACTION
action.wrap_resource_in_raii,,repair.exception_safety,USES_ACTION
action.wrap_access_with_mutex,,repair.lock_discipline,USES_ACTION
action.rewrite_condition_wait,,repair.condition_protocol,USES_ACTION
action.wrap_access_with_mutex,,repair.shared_state_protection,USES_ACTION
action.fix_printf_specifier,,repair.format_type_safety,USES_ACTION
action.use_std_format_or_print,,repair.format_type_safety,USES_ACTION
constraint.preserve_semantics,,repair.boundary_validation,MUST_SATISFY
constraint.minimal_patch,,repair.boundary_validation,MUST_SATISFY
constraint.valid_index_range,,repair.boundary_validation,MUST_SATISFY
constraint.preserve_semantics,,repair.loop_progress,MUST_SATISFY
constraint.minimal_patch,,repair.loop_progress,MUST_SATISFY
constraint.preserve_semantics,,repair.loop_termination,MUST_SATISFY
constraint.minimal_patch,,repair.loop_termination,MUST_SATISFY
constraint.no_use_after_release,,repair.pointer_safety,MUST_SATISFY
constraint.minimal_patch,,repair.pointer_safety,MUST_SATISFY
constraint.single_release,,repair.resource_lifecycle,MUST_SATISFY
constraint.no_use_after_release,,repair.resource_lifecycle,MUST_SATISFY
constraint.single_release,,repair.ownership_management,MUST_SATISFY
constraint.no_use_after_release,,repair.ownership_management,MUST_SATISFY
constraint.return_all_paths,,repair.control_flow_completion,MUST_SATISFY
constraint.keep_public_api,,repair.control_flow_completion,MUST_SATISFY
constraint.return_all_paths,,repair.function_contract,MUST_SATISFY
constraint.keep_public_api,,repair.function_contract,MUST_SATISFY
constraint.recursive_progress,,repair.recursion_termination,MUST_SATISFY
constraint.preserve_semantics,,repair.recursion_termination,MUST_SATISFY
constraint.recursive_progress,,repair.recursion_progress,MUST_SATISFY
constraint.preserve_semantics,,repair.recursion_progress,MUST_SATISFY
constraint.iterator_validity,,repair.iterator_validity,MUST_SATISFY
constraint.preserve_semantics,,repair.iterator_validity,MUST_SATISFY
constraint.iterator_validity,,repair.range_lifetime,MUST_SATISFY
constraint.preserve_semantics,,repair.range_lifetime,MUST_SATISFY
constraint.moved_from_safe_use,,repair.move_semantic_safety,MUST_SATISFY
constraint.no_unrelated_refactor,,repair.move_semantic_safety,MUST_SATISFY
constraint.virtual_base_cleanup,,repair.polymorphic_lifetime,MUST_SATISFY
constraint.keep_public_api,,repair.polymorphic_lifetime,MUST_SATISFY
constraint.exception_safe_cleanup,,repair.exception_safety,MUST_SATISFY
constraint.no_unrelated_refactor,,repair.exception_safety,MUST_SATISFY
constraint.synchronized_shared_state,,repair.lock_discipline,MUST_SATISFY
constraint.no_unrelated_refactor,,repair.lock_discipline,MUST_SATISFY
constraint.wait_predicate,,repair.condition_protocol,MUST_SATISFY
constraint.synchronized_shared_state,,repair.condition_protocol,MUST_SATISFY
constraint.synchronized_shared_state,,repair.shared_state_protection,MUST_SATISFY
constraint.format_type_match,,repair.format_type_safety,MUST_SATISFY
constraint.minimal_patch,,repair.format_type_safety,MUST_SATISFY
example.off_by_one.less_equal,,repair.boundary_validation,HAS_EXAMPLE
example.null_guard,,repair.pointer_safety,HAS_EXAMPLE
example.missing_return,,repair.control_flow_completion,HAS_EXAMPLE
example.missing_return,,repair.function_contract,HAS_EXAMPLE
example.recursive_progress,,repair.recursion_progress,HAS_EXAMPLE
example.virtual_destructor,,repair.polymorphic_lifetime,HAS_EXAMPLE
example.condition_wait,,repair.condition_protocol,HAS_EXAMPLE
bug.off_by_one,,repair.boundary_validation,REPAIRS_BUG
bug.array_out_of_bounds,,repair.boundary_validation,REPAIRS_BUG
bug.vector_out_of_range,,repair.boundary_validation,REPAIRS_BUG
bug.vector_out_of_range,,repair.iterator_validity,REPAIRS_BUG
bug.index_value_confusion,,repair.boundary_validation,REPAIRS_BUG
bug.infinite_loop,,repair.loop_progress,REPAIRS_BUG
bug.infinite_loop,,repair.loop_termination,REPAIRS_BUG
bug.missing_loop_update,,repair.loop_progress,REPAIRS_BUG
bug.wrong_loop_init,,repair.boundary_validation,REPAIRS_BUG
bug.wrong_loop_condition,,repair.loop_termination,REPAIRS_BUG
bug.wrong_loop_condition,,repair.boundary_validation,REPAIRS_BUG
bug.null_dereference,,repair.pointer_safety,REPAIRS_BUG
bug.memory_leak,,repair.resource_lifecycle,REPAIRS_BUG
bug.memory_leak,,repair.ownership_management,REPAIRS_BUG
bug.use_after_free,,repair.pointer_safety,REPAIRS_BUG
bug.use_after_free,,repair.resource_lifecycle,REPAIRS_BUG
bug.use_after_free,,repair.ownership_management,REPAIRS_BUG
bug.double_free,,repair.resource_lifecycle,REPAIRS_BUG
bug.double_free,,repair.ownership_management,REPAIRS_BUG
bug.dangling_pointer,,repair.pointer_safety,REPAIRS_BUG
bug.dangling_pointer,,repair.ownership_management,REPAIRS_BUG
bug.uninitialized_value,,repair.control_flow_completion,REPAIRS_BUG
bug.missing_return,,repair.control_flow_completion,REPAIRS_BUG
bug.missing_return,,repair.function_contract,REPAIRS_BUG
bug.wrong_base_case,,repair.recursion_termination,REPAIRS_BUG
bug.no_recursive_progress,,repair.recursion_progress,REPAIRS_BUG
bug.iterator_invalidation,,repair.iterator_validity,REPAIRS_BUG
bug.use_after_move,,repair.move_semantic_safety,REPAIRS_BUG
bug.missing_virtual_destructor,,repair.polymorphic_lifetime,REPAIRS_BUG
bug.rule_of_five,,repair.resource_lifecycle,REPAIRS_BUG
bug.rule_of_five,,repair.ownership_management,REPAIRS_BUG
bug.rule_of_five,,repair.exception_safety,REPAIRS_BUG
bug.exception_safety,,repair.exception_safety,REPAIRS_BUG
bug.format_specifier_mismatch,,repair.format_type_safety,REPAIRS_BUG
bug.condition_variable_misuse,,repair.condition_protocol,REPAIRS_BUG
bug.condition_variable_misuse,,repair.lock_discipline,REPAIRS_BUG
bug.condition_variable_misuse,,repair.shared_state_protection,REPAIRS_BUG
rule.loop.off_by_one.leq_length,,repair.boundary_validation,RECOMMENDED_BY_RULE
rule.loop.off_by_one.start_one,,repair.boundary_validation,RECOMMENDED_BY_RULE
rule.loop.infinite.missing_update,,repair.loop_progress,RECOMMENDED_BY_RULE
rule.loop.infinite.wrong_direction,,repair.loop_progress,RECOMMENDED_BY_RULE
rule.loop.infinite.wrong_direction,,repair.loop_termination,RECOMMENDED_BY_RULE
rule.loop.boundary.edge_case,,repair.boundary_validation,RECOMMENDED_BY_RULE
rule.array.out_of_bounds.size_index,,repair.boundary_validation,RECOMMENDED_BY_RULE
rule.array.index_value_confusion,,repair.boundary_validation,RECOMMENDED_BY_RULE
rule.pointer.null_deref.ast,,repair.pointer_safety,RECOMMENDED_BY_RULE
rule.pointer.null_deref.clang,,repair.pointer_safety,RECOMMENDED_BY_RULE
rule.memory.leak.alloc_no_release,,repair.resource_lifecycle,RECOMMENDED_BY_RULE
rule.memory.use_after_free.flow,,repair.pointer_safety,RECOMMENDED_BY_RULE
rule.memory.use_after_free.flow,,repair.resource_lifecycle,RECOMMENDED_BY_RULE
rule.memory.double_free.flow,,repair.ownership_management,RECOMMENDED_BY_RULE
rule.memory.uaf.sanitizer,,repair.pointer_safety,RECOMMENDED_BY_RULE
rule.memory.leak.sanitizer,,repair.resource_lifecycle,RECOMMENDED_BY_RULE
rule.function.missing_return.compiler,,repair.control_flow_completion,RECOMMENDED_BY_RULE
rule.function.missing_return.cfg,,repair.control_flow_completion,RECOMMENDED_BY_RULE
rule.recursion.no_base_case,,repair.recursion_termination,RECOMMENDED_BY_RULE
rule.recursion.unreachable_base,,repair.recursion_termination,RECOMMENDED_BY_RULE
rule.recursion.no_progress,,repair.recursion_progress,RECOMMENDED_BY_RULE
rule.iterator.invalidation.modify_then_use,,repair.iterator_validity,RECOMMENDED_BY_RULE
rule.iterator.view_lifetime,,repair.range_lifetime,RECOMMENDED_BY_RULE
rule.move.use_after_move,,repair.move_semantic_safety,RECOMMENDED_BY_RULE
rule.oop.delete_base_no_virtual,,repair.polymorphic_lifetime,RECOMMENDED_BY_RULE
rule.oop.rule_of_five,,repair.ownership_management,RECOMMENDED_BY_RULE
rule.oop.rule_of_five,,repair.exception_safety,RECOMMENDED_BY_RULE
rule.oop.exception_safety,,repair.exception_safety,RECOMMENDED_BY_RULE
rule.format.specifier_mismatch,,repair.format_type_safety,RECOMMENDED_BY_RULE
rule.format.modern_cpp_upgrade,,repair.format_type_safety,RECOMMENDED_BY_RULE
rule.concurrent.wait_protocol,,repair.condition_protocol,RECOMMENDED_BY_RULE
rule.concurrent.missing_sync,,repair.lock_discipline,RECOMMENDED_BY_RULE
rule.concurrent.missing_sync,,repair.shared_state_protection,RECOMMENDED_BY_RULE
rule.meta.edge_case_boundary,,repair.boundary_validation,RECOMMENDED_BY_RULE
fix.loop.bound,,repair.boundary_validation,IMPLEMENTS_FIX_STRATEGY
fix.loop.progress,,repair.loop_progress,IMPLEMENTS_FIX_STRATEGY
fix.loop.init,,repair.boundary_validation,IMPLEMENTS_FIX_STRATEGY
fix.array.bound,,repair.boundary_validation,IMPLEMENTS_FIX_STRATEGY
fix.array.index_value,,repair.boundary_validation,IMPLEMENTS_FIX_STRATEGY
fix.null.check,,repair.pointer_safety,IMPLEMENTS_FIX_STRATEGY
fix.release.once,,repair.resource_lifecycle,IMPLEMENTS_FIX_STRATEGY
fix.release.once,,repair.ownership_management,IMPLEMENTS_FIX_STRATEGY
fix.no_use_after_release,,repair.pointer_safety,IMPLEMENTS_FIX_STRATEGY
fix.no_use_after_release,,repair.ownership_management,IMPLEMENTS_FIX_STRATEGY
fix.use_raii,,repair.resource_lifecycle,IMPLEMENTS_FIX_STRATEGY
fix.use_raii,,repair.exception_safety,IMPLEMENTS_FIX_STRATEGY
fix.smart_pointer,,repair.ownership_management,IMPLEMENTS_FIX_STRATEGY
fix.smart_pointer,,repair.resource_lifecycle,IMPLEMENTS_FIX_STRATEGY
fix.return,,repair.control_flow_completion,IMPLEMENTS_FIX_STRATEGY
fix.return,,repair.function_contract,IMPLEMENTS_FIX_STRATEGY
fix.recursion.base,,repair.recursion_termination,IMPLEMENTS_FIX_STRATEGY
fix.recursion.progress,,repair.recursion_progress,IMPLEMENTS_FIX_STRATEGY
fix.iterator.refresh,,repair.iterator_validity,IMPLEMENTS_FIX_STRATEGY
fix.move.use_state,,repair.move_semantic_safety,IMPLEMENTS_FIX_STRATEGY
fix.virtual_destructor,,repair.polymorphic_lifetime,IMPLEMENTS_FIX_STRATEGY
fix.format.match,,repair.format_type_safety,IMPLEMENTS_FIX_STRATEGY
fix.condition_wait,,repair.condition_protocol,IMPLEMENTS_FIX_STRATEGY
concept.c.array,,repair.boundary_validation,APPLIES_TO_CONCEPT
concept.c.for,,repair.boundary_validation,APPLIES_TO_CONCEPT
concept.cpp.vector,,repair.boundary_validation,APPLIES_TO_CONCEPT
concept.cpp.range_for,,repair.boundary_validation,APPLIES_TO_CONCEPT
concept.c.for,,repair.loop_progress,APPLIES_TO_CONCEPT
concept.c.while,,repair.loop_progress,APPLIES_TO_CONCEPT
concept.cpp.for,,repair.loop_progress,APPLIES_TO_CONCEPT
concept.cpp.while,,repair.loop_progress,APPLIES_TO_CONCEPT
concept.c.for,,repair.loop_termination,APPLIES_TO_CONCEPT
concept.c.while,,repair.loop_termination,APPLIES_TO_CONCEPT
concept.cpp.for,,repair.loop_termination,APPLIES_TO_CONCEPT
concept.cpp.while,,repair.loop_termination,APPLIES_TO_CONCEPT
concept.c.pointer,,repair.pointer_safety,APPLIES_TO_CONCEPT
concept.cpp.pointer,,repair.pointer_safety,APPLIES_TO_CONCEPT
concept.cpp.smart_pointer,,repair.pointer_safety,APPLIES_TO_CONCEPT
concept.c.malloc,,repair.resource_lifecycle,APPLIES_TO_CONCEPT
concept.c.free,,repair.resource_lifecycle,APPLIES_TO_CONCEPT
concept.cpp.new_delete,,repair.resource_lifecycle,APPLIES_TO_CONCEPT
concept.cpp.raii,,repair.resource_lifecycle,APPLIES_TO_CONCEPT
concept.c.pointer,,repair.ownership_management,APPLIES_TO_CONCEPT
concept.cpp.smart_pointer,,repair.ownership_management,APPLIES_TO_CONCEPT
concept.cpp.raii,,repair.ownership_management,APPLIES_TO_CONCEPT
concept.c.function_def,,repair.control_flow_completion,APPLIES_TO_CONCEPT
concept.cpp.function_decl,,repair.control_flow_completion,APPLIES_TO_CONCEPT
concept.cpp.return,,repair.control_flow_completion,APPLIES_TO_CONCEPT
concept.c.function_def,,repair.function_contract,APPLIES_TO_CONCEPT
concept.cpp.function_decl,,repair.function_contract,APPLIES_TO_CONCEPT
concept.cpp.return,,repair.function_contract,APPLIES_TO_CONCEPT
concept.c.function_def,,repair.recursion_termination,APPLIES_TO_CONCEPT
concept.cpp.function_decl,,repair.recursion_termination,APPLIES_TO_CONCEPT
concept.c.function_def,,repair.recursion_progress,APPLIES_TO_CONCEPT
concept.cpp.function_decl,,repair.recursion_progress,APPLIES_TO_CONCEPT
concept.cpp.iterator,,repair.iterator_validity,APPLIES_TO_CONCEPT
concept.cpp.vector,,repair.iterator_validity,APPLIES_TO_CONCEPT
concept.cpp.map,,repair.iterator_validity,APPLIES_TO_CONCEPT
concept.cpp.unordered_map,,repair.iterator_validity,APPLIES_TO_CONCEPT
concept.cpp.ranges,,repair.range_lifetime,APPLIES_TO_CONCEPT
concept.cpp.views,,repair.range_lifetime,APPLIES_TO_CONCEPT
concept.cpp.string_view,,repair.range_lifetime,APPLIES_TO_CONCEPT
concept.cpp.span,,repair.range_lifetime,APPLIES_TO_CONCEPT
concept.cpp.move_semantics,,repair.move_semantic_safety,APPLIES_TO_CONCEPT
concept.cpp.unique_ptr,,repair.move_semantic_safety,APPLIES_TO_CONCEPT
concept.cpp.string,,repair.move_semantic_safety,APPLIES_TO_CONCEPT
concept.cpp.vector,,repair.move_semantic_safety,APPLIES_TO_CONCEPT
concept.cpp.class,,repair.polymorphic_lifetime,APPLIES_TO_CONCEPT
concept.cpp.inheritance,,repair.polymorphic_lifetime,APPLIES_TO_CONCEPT
concept.cpp.virtual_function,,repair.polymorphic_lifetime,APPLIES_TO_CONCEPT
concept.cpp.destructor,,repair.polymorphic_lifetime,APPLIES_TO_CONCEPT
concept.cpp.try_catch,,repair.exception_safety,APPLIES_TO_CONCEPT
concept.cpp.noexcept,,repair.exception_safety,APPLIES_TO_CONCEPT
concept.cpp.raii,,repair.exception_safety,APPLIES_TO_CONCEPT
concept.cpp.thread,,repair.lock_discipline,APPLIES_TO_CONCEPT
concept.cpp.mutex,,repair.lock_discipline,APPLIES_TO_CONCEPT
concept.cpp.atomic,,repair.lock_discipline,APPLIES_TO_CONCEPT
concept.cpp.thread,,repair.condition_protocol,APPLIES_TO_CONCEPT
concept.cpp.mutex,,repair.condition_protocol,APPLIES_TO_CONCEPT
concept.cpp.condition_variable,,repair.condition_protocol,APPLIES_TO_CONCEPT
concept.cpp.thread,,repair.shared_state_protection,APPLIES_TO_CONCEPT
concept.cpp.mutex,,repair.shared_state_protection,APPLIES_TO_CONCEPT
concept.cpp.atomic,,repair.shared_state_protection,APPLIES_TO_CONCEPT
concept.c.formatted_io,,repair.format_type_safety,APPLIES_TO_CONCEPT
concept.cpp.format,,repair.format_type_safety,APPLIES_TO_CONCEPT
concept.cpp.print_functions,,repair.format_type_safety,APPLIES_TO_CONCEPT
view.intro_c,,repair.boundary_validation,VISIBLE_IN
view.algorithms,,repair.boundary_validation,VISIBLE_IN
view.cpp_stl,,repair.boundary_validation,VISIBLE_IN
view.intro_c,,repair.loop_progress,VISIBLE_IN
view.algorithms,,repair.loop_progress,VISIBLE_IN
view.intro_c,,repair.loop_termination,VISIBLE_IN
view.algorithms,,repair.loop_termination,VISIBLE_IN
view.c_pointers,,repair.pointer_safety,VISIBLE_IN
view.cpp_modern,,repair.pointer_safety,VISIBLE_IN
view.c_pointers,,repair.resource_lifecycle,VISIBLE_IN
view.cpp_modern,,repair.resource_lifecycle,VISIBLE_IN
view.c_pointers,,repair.ownership_management,VISIBLE_IN
view.cpp_modern,,repair.ownership_management,VISIBLE_IN
view.intro_c,,repair.control_flow_completion,VISIBLE_IN
view.intro_c,,repair.function_contract,VISIBLE_IN
view.algorithms,,repair.recursion_termination,VISIBLE_IN
view.algorithms,,repair.recursion_progress,VISIBLE_IN
view.cpp_stl,,repair.iterator_validity,VISIBLE_IN
view.cpp_modern,,repair.iterator_validity,VISIBLE_IN
view.cpp_stl,,repair.range_lifetime,VISIBLE_IN
view.cpp_modern,,repair.range_lifetime,VISIBLE_IN
view.cpp_modern,,repair.move_semantic_safety,VISIBLE_IN
view.cpp_stl,,repair.move_semantic_safety,VISIBLE_IN
view.cpp_oop,,repair.polymorphic_lifetime,VISIBLE_IN
view.cpp_oop,,repair.exception_safety,VISIBLE_IN
view.cpp_modern,,repair.exception_safety,VISIBLE_IN
view.cpp_modern,,repair.lock_discipline,VISIBLE_IN
view.cpp_modern,,repair.condition_protocol,VISIBLE_IN
view.cpp_modern,,repair.shared_state_protection,VISIBLE_IN
view.intro_c,,repair.format_type_safety,VISIBLE_IN
view.cpp_modern,,repair.format_type_safety,VISIBLE_IN
